registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
5101,第３種,平成14年01月08日,有限会社ツーリズムジャパン,有限会社ツーリズムジャパン,ＪＡＴＡ,5,unique_match,1,有限会社ツーリズムジャパン,5013402004389,〒206-0033 東京都多摩市落合３丁目１番地８－３０３
5103,第３種,平成14年01月10日,ロジスティ－ドオ－トサ－ビス株式会社,ロジスティ－ドオ－トサ－ビス株式会社,,5,not_found,0,,,
5104,第３種,平成14年01月15日,渡邉　礼子(イージートラベル),渡邉　礼子,,5,not_found,0,,,
5112,第３種,平成14年02月22日,有限会社東日本ツーリスト,有限会社東日本ツーリスト,ＡＮＴＡ,5,duplicate_name,2,,,
5114,第３種,平成14年02月26日,株式会社ケイ・コンベンション,株式会社ケイ・コンベンション,,5,unique_match,1,株式会社ケイ・コンベンション,9011101032914,〒160-0022 東京都新宿区新宿１丁目２７番２号山本ビル
5120,第２種,平成14年03月19日,株式会社フジエクスプレス,株式会社フジエクスプレス,ＡＮＴＡ,5,duplicate_name,2,,,
5122,第３種,平成14年03月26日,有限会社ツアープランナー・ケイ,有限会社ツアープランナー・ケイ,,5,unique_match,1,有限会社ツアープランナー・ケイ,1012402008081,〒185-0002 東京都国分寺市東戸倉２丁目８番地３２
5124,第３種,平成14年03月28日,株式会社サンプラネット(サンプラネットトラベル),株式会社サンプラネット,,5,duplicate_name,4,,,
5129,第３種,平成14年04月09日,株式会社アダツアーズジャパン,株式会社アダツアーズジャパン,ＪＡＴＡ,5,unique_match,1,株式会社アダツアーズジャパン,1010001077548,〒103-0024 東京都中央区日本橋小舟町８番６号
5132,第３種,平成14年04月11日,株式会社エイチ・ダブル・ティー(ハレルヤワールドトラベル),株式会社エイチ・ダブル・ティー,ＪＡＴＡ,5,unique_match,1,株式会社エイチ・ダブル・ティー,7010601039999,〒135-0015 東京都江東区千石２丁目３番３６－１０１号
5134,第３種,平成14年04月18日,株式会社ＩＰモーション,株式会社ＩＰモーション,,5,unique_match,1,株式会社ＩＰモーション,7010401034218,〒105-0023 東京都港区芝浦１丁目３番３号
5138,第３種,平成14年04月25日,株式会社東京バスワールド,株式会社東京バスワールド,ＡＮＴＡ,5,unique_match,1,株式会社東京バスワールド,6010001077824,〒101-0061 東京都千代田区神田三崎町３丁目６番１５号
5145,第３種,平成13年10月16日,株式会社コラボレート研究所(Ｃ－ｋｅｎ　Ｔｏｕｒｉｓｔ),株式会社コラボレート研究所,,5,unique_match,1,株式会社コラボレート研究所,9010001129028,〒103-0013 東京都中央区日本橋人形町１丁目８番４号東商共同ビル７階
5146,第２種,平成14年05月09日,グローバルナビゲーター株式会社,グローバルナビゲーター株式会社,ＡＮＴＡ,5,unique_match,1,グローバルナビゲーター株式会社,2011801020150,〒123-0853 東京都足立区本木２丁目４番１１号
